TransactionID,Date,ProductName,Category,Region,SalesChannel,Quantity,UnitPrice,TotalAmount,PaymentMode,CustomerID
T00001,2026-11-24,Laptop,Electronics,South,Online,5,799,3995,UPI,C0693
T00002,2026-10-07,Tablet,Electronics,North,Online,7,199,1393,Cash,C0239
T00003,2026-09-16,Football,Sports,West,Online,9,799,7191,Net Banking,C0604
T00004,2026-05-23,Smartphone,Electronics,East,Online,7,1499,10493,Cash,C0782
T00005,2026-06-22,Laptop,Electronics,East,Offline,7,299,2093,Credit Card,C0045
T00006,2026-08-24,Football,Sports,East,Offline,7,299,2093,Cash,C0722
T00007,2026-02-05,Smartphone,Electronics,South,Online,5,299,1495,Net Banking,C0285
T00008,2026-08-21,Microwave,Home,South,Offline,6,1499,8994,UPI,C0624
T00009,2026-11-22,Dress,Clothing,West,Offline,4,499,1996,Credit Card,C0656
T00010,2026-12-19,Cricket Bat,Sports,South,Online,6,199,1194,Credit Card,C0411
T00011,2026-05-18,Smartphone,Electronics,East,Online,10,49999,499990,Net Banking,C0406
T00012,2026-11-26,Milk,Grocery,South,Offline,5,499,2495,Net Banking,C0598
T00013,2026-07-24,Microwave,Home,West,Online,3,9999,29997,UPI,C0113
T00014,2026-03-20,Shoes,Clothing,West,Offline,10,299,2990,Net Banking,C0542
T00015,2026-05-09,Football,Sports,East,Offline,2,29999,59998,UPI,C0301
T00016,2026-08-11,Shoes,Clothing,East,Online,1,49999,49999,UPI,C0641
T00017,2026-06-02,Tennis Racket,Sports,East,Online,4,499,1996,UPI,C0614
T00018,2026-06-15,Rice,Grocery,East,Online,2,1499,2998,UPI,C0247
T00019,2026-10-18,Laptop,Electronics,South,Online,8,299,2392,Net Banking,C0563
T00020,2026-03-26,Sofa,Home,South,Online,10,2499,24990,Credit Card,C0409
T00021,2026-12-10,Table,Home,North,Online,9,4999,44991,Cash,C0066
T00022,2026-06-23,Tablet,Electronics,South,Online,9,799,7191,UPI,C0725
T00023,2026-11-20,Smartphone,Electronics,East,Online,2,199,398,Cash,C0286
T00024,2026-12-09,Milk,Grocery,West,Online,9,499,4491,Net Banking,C0417
T00025,2026-04-08,Laptop,Electronics,West,Offline,7,1499,10493,Net Banking,C0747
T00026,2026-01-28,Laptop,Electronics,East,Online,7,49999,349993,Cash,C0197
T00027,2026-04-08,Dumbbell,Sports,South,Offline,3,2499,7497,Net Banking,C0256
T00028,2026-02-08,Sugar,Grocery,North,Online,2,199,398,Cash,C0171
T00029,2026-07-28,Oil,Grocery,North,Online,4,2499,9996,Net Banking,C0003
T00030,2026-07-19,Table,Home,West,Online,5,2499,12495,Cash,C0304
T00031,2026-04-22,Tablet,Electronics,East,Online,9,199,1791,UPI,C0599
T00032,2026-09-02,Tennis Racket,Sports,North,Online,3,199,597,UPI,C0610
T00033,2026-02-04,Shoes,Clothing,South,Online,2,19999,39998,UPI,C0430
T00034,2026-12-03,Tennis Racket,Sports,East,Online,9,1499,13491,Credit Card,C0245
T00035,2026-05-16,Milk,Grocery,East,Online,5,4999,24995,UPI,C0470
T00036,2026-11-15,Football,Sports,South,Offline,2,9999,19998,Cash,C0358
T00037,2026-02-05,Jacket,Clothing,West,Offline,5,499,2495,UPI,C0684
T00038,2026-10-11,Mixer,Home,North,Online,3,999,2997,Cash,C0279
T00039,2026-05-25,Cricket Bat,Sports,East,Offline,6,799,4794,Credit Card,C0053
T00040,2026-02-17,Bread,Grocery,East,Online,1,199,199,Credit Card,C0166
T00041,2026-08-15,Dumbbell,Sports,North,Online,9,199,1791,Cash,C0559
T00042,2026-01-19,Sofa,Home,West,Online,9,499,4491,UPI,C0316
T00043,2026-07-06,Headphones,Electronics,South,Online,4,29999,119996,Credit Card,C0799
T00044,2026-10-14,Sugar,Grocery,South,Online,3,799,2397,Net Banking,C0026
T00045,2026-04-02,Table,Home,South,Online,4,999,3996,Net Banking,C0040
T00046,2026-08-29,Jeans,Clothing,East,Online,8,1499,11992,Cash,C0025
T00047,2026-12-04,Shoes,Clothing,North,Offline,6,999,5994,Credit Card,C0657
T00048,2026-09-18,Sugar,Grocery,North,Offline,6,199,1194,Cash,C0595
T00049,2026-05-16,Laptop,Electronics,East,Offline,10,2499,24990,Net Banking,C0621
T00050,2026-09-19,Smartwatch,Electronics,East,Online,10,799,7990,Net Banking,C0002
T00051,2026-09-24,Cricket Bat,Sports,North,Offline,6,2499,14994,Credit Card,C0680
T00052,2026-03-05,Sofa,Home,West,Offline,5,29999,149995,Net Banking,C0714
T00053,2026-06-01,Cricket Bat,Sports,West,Online,4,2499,9996,Credit Card,C0416
T00054,2026-10-08,Headphones,Electronics,West,Offline,5,799,3995,Net Banking,C0453
T00055,2026-08-15,Dress,Clothing,South,Online,8,49999,399992,Credit Card,C0528
T00056,2026-12-06,Yoga Mat,Sports,East,Online,2,799,1598,Cash,C0151
T00057,2026-01-13,Smartphone,Electronics,North,Offline,8,19999,159992,Net Banking,C0645
T00058,2026-10-22,Shoes,Clothing,South,Online,8,2499,19992,UPI,C0769
T00059,2026-02-24,Milk,Grocery,West,Online,3,49999,149997,Cash,C0125
T00060,2026-08-22,Shoes,Clothing,East,Offline,9,9999,89991,Net Banking,C0562
T00061,2026-08-17,Shoes,Clothing,South,Offline,8,999,7992,Net Banking,C0642
T00062,2026-05-03,Table,Home,East,Online,2,49999,99998,Credit Card,C0344
T00063,2026-06-13,Football,Sports,South,Offline,3,499,1497,Cash,C0724
T00064,2026-04-20,Smartwatch,Electronics,West,Offline,7,1499,10493,UPI,C0212
T00065,2026-08-04,Sugar,Grocery,West,Offline,1,19999,19999,UPI,C0361
T00066,2026-06-02,Oil,Grocery,South,Offline,9,49999,449991,Cash,C0280
T00067,2026-08-12,Rice,Grocery,West,Online,7,1499,10493,Net Banking,C0131
T00068,2026-11-15,Football,Sports,North,Online,7,19999,139993,Net Banking,C0139
T00069,2026-08-25,T-Shirt,Clothing,East,Online,5,2499,12495,Net Banking,C0335
T00070,2026-06-22,Bread,Grocery,North,Offline,7,999,6993,UPI,C0768
T00071,2026-10-04,Headphones,Electronics,North,Online,4,29999,119996,UPI,C0254
T00072,2026-04-13,Tablet,Electronics,South,Offline,3,799,2397,UPI,C0578
T00073,2026-04-22,Bread,Grocery,North,Online,6,499,2994,Credit Card,C0111
T00074,2026-10-24,Headphones,Electronics,West,Offline,10,29999,299990,Cash,C0078
T00075,2026-10-31,T-Shirt,Clothing,North,Online,5,29999,149995,Credit Card,C0546
T00076,2026-08-08,Mixer,Home,East,Online,9,29999,269991,Net Banking,C0502
T00077,2026-02-24,Bread,Grocery,South,Offline,8,49999,399992,Cash,C0752
T00078,2026-09-25,Sofa,Home,West,Offline,9,4999,44991,Credit Card,C0331
T00079,2026-05-06,Headphones,Electronics,West,Offline,8,799,6392,Credit Card,C0030
T00080,2026-09-11,Microwave,Home,East,Offline,8,799,6392,Credit Card,C0287
T00081,2026-11-02,Sofa,Home,South,Online,1,9999,9999,Cash,C0738
T00082,2026-07-28,Sugar,Grocery,West,Offline,4,49999,199996,Net Banking,C0018
T00083,2026-02-17,Microwave,Home,South,Offline,7,49999,349993,Credit Card,C0485
T00084,2026-10-11,Yoga Mat,Sports,East,Offline,7,49999,349993,Net Banking,C0278
T00085,2026-06-06,Microwave,Home,South,Offline,2,49999,99998,UPI,C0761
T00086,2026-10-02,Jeans,Clothing,West,Offline,4,49999,199996,Credit Card,C0103
T00087,2026-04-10,Microwave,Home,East,Online,6,499,2994,Cash,C0281
T00088,2026-01-24,Tablet,Electronics,South,Offline,5,49999,249995,UPI,C0013
T00089,2026-10-21,Table,Home,East,Online,8,4999,39992,UPI,C0259
T00090,2026-09-02,Laptop,Electronics,North,Online,7,4999,34993,Cash,C0153
T00091,2026-10-16,Mixer,Home,West,Online,4,299,1196,Net Banking,C0462
T00092,2026-08-15,Sofa,Home,North,Online,7,999,6993,Cash,C0641
T00093,2026-04-19,Mixer,Home,South,Online,3,799,2397,Cash,C0003
